seconds,clock,member,playerControlled,phase,cell,x,y,destination,stuck,reservationBlocker,movementBlocker,intent,location,interaction,status,pathIndex,pathLength,seat,interactionPhase,termination,staticHere
7.002848,2000-01-03T08:50:00,mother,False,Navigating,"(8,7)",1.095204,7.007955,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
7.002934,2000-01-03T08:50:00,older_sister,False,Navigating,"(8,4)",3.722794,5.861395,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,12,,None,None,True
7.003008,2000-01-03T08:50:00,player,True,Navigating,"(4,2)",1.610542,3.027493,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,9,,None,None,True
7.108896,2000-01-03T08:50:00,father,False,Navigating,"(3,9)",-5.403738,5.742577,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
7.109042,2000-01-03T08:50:00,mother,False,Navigating,"(8,7)",0.998374,7.056370,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
7.109124,2000-01-03T08:50:00,older_sister,False,Navigating,"(8,4)",3.625964,5.812979,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,12,,None,None,True
7.109200,2000-01-03T08:50:00,player,True,Navigating,"(4,2)",1.707372,3.075908,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,9,,None,None,True
7.212363,2000-01-03T08:50:00,father,False,Navigating,"(3,9)",-5.310667,5.789113,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
7.212502,2000-01-03T08:50:00,mother,False,Navigating,"(8,7)",0.905303,7.102906,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
7.212683,2000-01-03T08:50:00,older_sister,False,Navigating,"(8,4)",3.532893,5.766444,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,12,,None,None,True
7.212764,2000-01-03T08:50:00,player,True,Navigating,"(4,2)",1.800443,3.122444,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,9,,None,None,True
7.313624,2000-01-03T08:50:00,father,False,Navigating,"(3,9)",-5.218062,5.835415,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
7.313774,2000-01-03T08:50:00,mother,False,Navigating,"(8,7)",0.812699,7.149208,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
7.313857,2000-01-03T08:50:00,older_sister,False,Navigating,"(8,4)",3.440288,5.720141,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,12,,None,None,True
7.313941,2000-01-03T08:50:00,player,True,Navigating,"(4,2)",1.893047,3.168746,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,9,,None,None,True
7.415240,2000-01-03T08:50:00,father,False,Navigating,"(3,9)",-5.106108,5.891391,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
7.415385,2000-01-03T08:50:00,mother,False,Navigating,"(8,7)",0.700745,7.205184,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
7.415468,2000-01-03T08:50:00,older_sister,False,Navigating,"(8,4)",3.328335,5.664165,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,12,,None,None,True
7.415545,2000-01-03T08:50:00,player,True,Navigating,"(4,2)",2.005001,3.224722,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,9,,None,None,True
7.593202,2000-01-03T08:50:00,father,False,Navigating,"(3,9)",-5.016282,5.936304,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
7.593372,2000-01-03T08:50:00,mother,False,Navigating,"(8,7)",0.610919,7.250097,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
7.593456,2000-01-03T08:50:00,older_sister,False,Navigating,"(8,4)",3.238508,5.619252,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,12,,None,None,True
7.593536,2000-01-03T08:50:00,player,True,Navigating,"(4,2)",2.094827,3.269635,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",4,9,,None,None,True
7.714539,2000-01-03T08:50:00,father,False,Navigating,"(4,9)",-4.837326,6.025782,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
7.714696,2000-01-03T08:50:00,mother,False,Navigating,"(8,8)",0.431964,7.339575,"(8,11)",0.000000,"","","empty-office-wander:mother:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",6,7,,None,None,True
7.714785,2000-01-03T08:50:00,older_sister,False,Navigating,"(7,4)",3.059553,5.529775,"(4,9)",0.000000,"","","empty-office-wander:older_sister:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,12,,None,None,True
7.714867,2000-01-03T08:50:00,player,True,Navigating,"(5,2)",2.273782,3.359113,"(8,4)",0.000000,"","","empty-office-wander:player:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,9,,None,None,True
7.830787,2000-01-03T08:50:00,father,False,Navigating,"(4,9)",-4.731454,6.078718,"(4,5)",0.000000,"","","empty-office-wander:father:1",OpenArea,"","빈 사무실 산책 · 기운 좋음",3,8,,None,None,True
