seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight
138.042900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
138.043000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
138.043000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Working,0.186423,1.775838
139.043200,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
139.043300,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.970854,1.857259
139.043300,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
139.043300,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,mother,Working,0.186398,1.775838
140.143400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
140.143600,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.970854,1.857259
140.143600,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
140.143600,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
141.152600,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
141.152600,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.970854,1.857259
141.152700,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
141.152700,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
142.203300,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
142.203400,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.970854,1.857259
142.203400,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
142.203400,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
143.319400,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
143.319500,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.970854,1.857259
143.319500,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
143.319500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
144.404100,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
144.404200,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,older_sister,Navigating,2.917030,1.857259
144.404300,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,father,Navigating,4.030854,1.775838
144.404300,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
145.489700,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
