frame,actor,phase,grid_x,grid_y,position_x,position_y,radius,desk_penetrating_vertices,desk_min_clearance,body_reach
59,player,Navigating,0.959800,5.720426,-4.231668,3.413434,0.220000,0,1.300381,0.450864
59,father,Navigating,9.500957,10.042830,-0.481662,9.130570,0.220000,0,0.954264,0.390774
60,player,Navigating,0.960979,5.640641,-4.159699,3.378498,0.220000,0,1.289202,0.487560
60,father,Navigating,9.580078,10.040570,-0.409322,9.164731,0.220000,0,0.936250,0.396854
61,player,Navigating,0.962158,5.560855,-4.087731,3.343561,0.220000,0,1.279652,0.511709
61,father,Navigating,9.659201,10.038310,-0.336982,9.198892,0.220000,0,0.906185,0.374844
62,player,Navigating,0.963337,5.481070,-4.015762,3.308625,0.220000,0,1.264706,0.504340
62,father,Navigating,9.738322,10.036050,-0.264642,9.233052,0.220000,0,0.855977,0.342347
63,player,Navigating,0.964516,5.401284,-3.943794,3.273689,0.220000,0,1.250514,0.465016
63,father,Navigating,9.817444,10.033780,-0.192303,9.267213,0.220000,0,0.804827,0.342095
64,player,Navigating,0.965695,5.321499,-3.871825,3.238753,0.220000,0,1.237824,0.410745
64,father,Navigating,9.896566,10.031520,-0.119963,9.301373,0.220000,0,0.748307,0.348710
65,player,Navigating,0.966874,5.241713,-3.799857,3.203817,0.220000,0,1.232054,0.339545
65,father,Navigating,9.975688,10.029260,-0.047623,9.335534,0.220000,0,0.696443,0.355373
66,player,Navigating,0.968054,5.161928,-3.727888,3.168880,0.220000,0,1.228080,0.347168
66,father,Navigating,10.054810,10.027000,0.024717,9.369695,0.220000,0,0.648514,0.361747
67,player,Navigating,0.969233,5.082142,-3.655920,3.133944,0.220000,0,1.227179,0.353753
67,father,Navigating,10.133930,10.024740,0.097057,9.403855,0.220000,0,0.608126,0.369838
68,player,Navigating,0.970412,5.002357,-3.583951,3.099008,0.220000,0,1.230344,0.361162
68,father,Navigating,10.213050,10.022480,0.169397,9.438016,0.220000,0,0.569813,0.382470
69,player,Navigating,0.971591,4.922571,-3.511982,3.064072,0.220000,0,1.228903,0.373690
69,father,Navigating,10.292180,10.020220,0.241737,9.472177,0.220000,0,0.541152,0.393420
70,player,Navigating,0.972770,4.842785,-3.440014,3.029136,0.220000,0,1.226815,0.398319
70,father,Navigating,10.371300,10.017960,0.314076,9.506337,0.220000,0,0.521357,0.399887
71,player,Navigating,0.973949,4.763000,-3.368045,2.994200,0.220000,0,1.223253,0.428538
71,father,Navigating,10.450420,10.015700,0.386416,9.540498,0.220000,0,0.510672,0.404910
72,player,Navigating,0.975128,4.683215,-3.296077,2.959263,0.220000,0,1.215796,0.459399
72,father,Navigating,10.529540,10.013440,0.458756,9.574658,0.220000,0,0.508176,0.407327
73,player,Navigating,0.976307,4.603429,-3.224108,2.924327,0.220000,0,1.206332,0.484313
73,father,Navigating,10.608660,10.011180,0.531096,9.608819,0.220000,0,0.510650,0.403160
74,player,Navigating,0.977486,4.523643,-3.152140,2.889391,0.220000,0,1.194850,0.500929
74,father,Navigating,10.687780,10.008920,0.603436,9.642980,0.220000,0,0.519529,0.390203
75,player,Navigating,0.978665,4.443858,-3.080171,2.854455,0.220000,0,1.181324,0.479455
75,father,Navigating,10.766910,10.006660,0.675776,9.677140,0.220000,0,0.537237,0.377770
76,player,Navigating,0.979845,4.364072,-3.008203,2.819519,0.220000,0,1.166308,0.446277
76,father,Navigating,10.846030,10.004400,0.748115,9.711301,0.220000,0,0.558564,0.368756
77,player,Navigating,0.981024,4.284287,-2.936234,2.784582,0.220000,0,1.143866,0.397761
77,father,Navigating,10.925150,10.002140,0.820455,9.745461,0.220000,0,0.582594,0.359181
78,player,Navigating,0.982203,4.204501,-2.864265,2.749646,0.220000,0,1.124543,0.354523
78,father,Navigating,11.000000,10.000000,0.888889,9.777778,0.220000,0,0.607094,0.353013
79,player,Navigating,0.983382,4.124716,-2.792297,2.714710,0.220000,0,1.119685,0.342711
79,father,Navigating,11.050130,9.969133,0.960890,9.786342,0.220000,0,0.624379,0.351248
80,player,Navigating,0.984561,4.044930,-2.720328,2.679774,0.220000,0,1.117992,0.335053
80,father,Navigating,11.052550,9.891778,1.031800,9.753036,0.220000,0,0.463500,0.350009
81,player,Navigating,0.985740,3.965144,-2.648360,2.644837,0.220000,0,1.117635,0.352862
81,father,Navigating,11.050280,9.809937,1.102527,9.715652,0.220000,0,0.415319,0.348400
82,player,Navigating,0.986919,3.885359,-2.576391,2.609901,0.220000,0,1.117966,0.382382
82,father,Navigating,11.048010,9.728096,1.173255,9.678268,0.220000,0,0.417994,0.350836
83,player,Navigating,0.988097,3.805573,-2.504423,2.574965,0.220000,0,1.120708,0.418211
83,father,Navigating,11.045730,9.646255,1.243982,9.640884,0.220000,0,0.409304,0.367926
84,player,Navigating,0.989276,3.725787,-2.432454,2.540028,0.220000,0,1.124623,0.456869
84,father,Navigating,11.043460,9.564413,1.314710,9.603500,0.220000,0,0.402320,0.390776
85,player,Navigating,0.990455,3.646001,-2.360486,2.505092,0.220000,0,1.131366,0.492492
85,father,Navigating,11.041190,9.482571,1.385437,9.566115,0.220000,0,0.389337,0.396854
86,player,Navigating,0.991634,3.566216,-2.288517,2.470155,0.220000,0,1.137971,0.513310
86,father,Navigating,11.038920,9.400730,1.456165,9.528731,0.220000,0,0.326222,0.374841
87,player,Navigating,0.992813,3.486430,-2.216548,2.435219,0.220000,0,1.142038,0.499878
87,father,Navigating,11.036640,9.318888,1.526892,9.491346,0.220000,0,0.278787,0.342346
88,player,Navigating,0.993992,3.406644,-2.144580,2.400283,0.220000,0,1.147694,0.457514
88,father,Navigating,11.034370,9.237045,1.597620,9.453961,0.220000,0,0.260480,0.342096
89,player,Navigating,0.995171,3.326858,-2.072611,2.365346,0.220000,0,1.158435,0.399319
89,father,Navigating,11.032090,9.155203,1.668347,9.416576,0.220000,0,0.243470,0.348711
90,player,Navigating,0.996350,3.247073,-2.000643,2.330410,0.220000,0,1.171309,0.340726
90,father,Navigating,11.029820,9.073360,1.739075,9.379191,0.220000,0,0.229467,0.355374
91,player,Navigating,0.997528,3.167287,-1.928674,2.295473,0.220000,0,1.187160,0.348312
91,father,Navigating,11.027550,8.991519,1.809802,9.341807,0.220000,0,0.218571,0.361748
92,player,Navigating,0.998707,3.087501,-1.856706,2.260537,0.220000,0,1.207106,0.354859
92,father,Navigating,11.025270,8.909677,1.880530,9.304422,0.220000,0,0.210427,0.369839
93,player,Navigating,0.999886,3.007716,-1.784737,2.225601,0.220000,0,1.229973,0.362617
93,father,Navigating,11.023000,8.827835,1.951257,9.267037,0.220000,0,0.200573,0.382471
94,player,Navigating,1.004480,2.974142,-1.750811,2.212721,0.220000,0,1.233908,0.368317
94,father,Navigating,11.020730,8.745993,2.021985,9.229652,0.220000,0,0.198959,0.393421
95,player,Navigating,1.055767,2.945039,-1.679353,2.222580,0.220000,0,1.171942,0.384312
95,father,Navigating,11.018450,8.664150,2.092712,9.192267,0.220000,0,0.213948,0.399888
96,player,Navigating,1.137592,2.947310,-1.608638,2.259957,0.220000,0,0.987736,0.413969
96,father,Navigating,11.016180,8.582309,2.163440,9.154883,0.220000,0,0.216156,0.404911
97,player,Navigating,1.219459,2.949626,-1.537926,2.297371,0.220000,0,0.964314,0.445237
97,father,Navigating,11.013900,8.500466,2.234167,9.117498,0.220000,0,0.220686,0.407326
98,player,Navigating,1.301326,2.951942,-1.467214,2.334786,0.220000,0,0.940833,0.473419
98,father,Navigating,11.011640,8.419086,2.304496,9.080324,0.220000,0,0.226826,0.403224
99,player,Navigating,1.383193,2.954258,-1.396503,2.372200,0.220000,0,0.920184,0.494207
99,father,Navigating,11.009520,8.342671,2.370532,9.045419,0.220000,0,0.234664,0.391184
100,player,Navigating,1.465059,2.956574,-1.325791,2.409615,0.220000,0,0.896621,0.491810
100,father,Navigating,11.007680,8.276509,2.427710,9.015197,0.220000,0,0.245576,0.380715
101,player,Navigating,1.546926,2.958890,-1.255079,2.447029,0.220000,0,0.861365,0.463424
101,father,Navigating,11.006160,8.221825,2.474967,8.990217,0.220000,0,0.255323,0.373721
102,player,Navigating,1.628793,2.961206,-1.184367,2.484444,0.220000,0,0.774664,0.423578
102,father,Navigating,11.004920,8.177188,2.513543,8.969828,0.220000,0,0.263172,0.369145
103,player,Navigating,1.710660,2.963522,-1.113656,2.521858,0.220000,0,0.694306,0.361041
103,father,Navigating,11.003900,8.140383,2.545350,8.953015,0.220000,0,0.269659,0.365107
104,player,Navigating,1.792526,2.965838,-1.042944,2.559273,0.220000,0,0.628204,0.347831
104,father,Navigating,11.003040,8.109385,2.572138,8.938855,0.220000,0,0.275071,0.361250
105,player,Navigating,1.874393,2.968154,-0.972232,2.596688,0.220000,0,0.580327,0.338233
105,father,Navigating,11.002290,8.082593,2.595290,8.926617,0.220000,0,0.279730,0.358273
106,player,Navigating,1.956260,2.970470,-0.901521,2.634102,0.220000,0,0.555192,0.339899
106,father,Navigating,11.001630,8.058792,2.615858,8.915745,0.220000,0,0.283798,0.356068
107,player,Navigating,2.038126,2.972786,-0.830809,2.671517,0.220000,0,0.546984,0.367819
107,father,Navigating,11.001030,8.037046,2.634651,8.905811,0.220000,0,0.287366,0.354439
108,player,Navigating,2.119993,2.975102,-0.760097,2.708931,0.220000,0,0.551368,0.399597
108,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
109,player,Navigating,2.201860,2.977418,-0.689386,2.746346,0.220000,0,0.565513,0.438269
109,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
110,player,Navigating,2.283726,2.979734,-0.618674,2.783760,0.220000,0,0.580609,0.476568
110,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
111,player,Navigating,2.365593,2.982051,-0.547962,2.821175,0.220000,0,0.599180,0.505857
111,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
112,player,Navigating,2.447460,2.984367,-0.477251,2.858590,0.220000,0,0.621616,0.511963
112,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
113,player,Navigating,2.529326,2.986683,-0.406539,2.896004,0.220000,0,0.641786,0.479613
113,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
114,player,Navigating,2.611193,2.988999,-0.335828,2.933419,0.220000,0,0.666988,0.430429
114,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
115,player,Navigating,2.693060,2.991316,-0.265116,2.970834,0.220000,0,0.691344,0.355850
115,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
116,player,Navigating,2.774927,2.993632,-0.194404,3.008249,0.220000,0,0.715409,0.344734
116,father,Idle,11.000000,8.000000,2.666667,8.888889,0.220000,0,0.293196,0.352479
117,player,Navigating,2.856794,2.995948,-0.123693,3.045663,0.220000,0,0.741195,0.351692
