frame,actor,left_pixels,right_pixels,left_outside_pixels,right_outside_pixels,left_min_tile_margin_px,right_min_tile_margin_px,rendered_width,rendered_height,head_width,head_height,head_to_height,shoulder_width,torso_width,leg_width,leg_height,silhouette_pixels,screen_occupation_percent,shoe_centroid_x,shoe_centroid_y,agent_center_x,agent_center_y,shoe_to_agent_x,shoe_to_agent_y
31,player,170,187,0,51,1.499601,-3.263827,39,88,27,25,0.284091,20,31,39,43,1875,0.203451,530.799700,267.390700,523.186000,252.382000,7.613770,15.008760
31,father,95,132,95,0,-10.891150,1.499594,36,97,28,31,0.319588,24,30,36,47,1881,0.204102,752.632100,379.971400,756.814000,369.196000,-4.181824,10.775390
32,player,168,188,0,64,1.946815,-4.158245,40,89,27,25,0.280899,20,33,40,43,1892,0.205295,531.755600,267.424200,524.958400,253.268200,6.797180,14.155960
32,father,98,136,98,0,-10.443940,1.499593,36,97,28,31,0.319588,24,30,36,47,1891,0.205187,751.153900,379.038500,755.041600,368.309800,-3.887695,10.728670
33,player,164,186,0,86,2.394029,-5.052680,41,89,28,26,0.292135,20,34,41,43,1906,0.206814,532.908600,267.777100,526.730900,254.154400,6.177673,13.622700
33,father,106,135,106,0,-9.996726,1.499592,37,97,28,30,0.309278,24,31,37,48,1889,0.204970,749.462600,378.043600,753.269100,367.423600,-3.806458,10.620000
34,player,163,188,0,100,2.841242,-5.947106,42,90,27,26,0.288889,20,33,42,44,1907,0.206923,533.702300,267.995700,528.503400,255.040600,5.198914,12.955090
34,father,107,138,96,0,-9.996726,1.499592,38,98,28,31,0.316327,24,31,38,48,1885,0.204536,748.140800,377.377600,751.496600,366.537300,-3.355835,10.840240
35,player,159,184,0,117,3.288456,-6.394319,41,90,28,26,0.288889,20,34,41,44,1907,0.206923,534.765300,268.336700,530.275800,255.926800,4.489563,12.409880
35,father,110,137,85,0,-9.102298,1.052378,38,98,28,31,0.316327,25,31,38,48,1887,0.204753,746.730800,376.601200,749.724200,365.651100,-2.993469,10.950130
36,player,157,191,0,134,3.288456,-7.288744,42,91,28,25,0.274725,20,33,42,45,1921,0.208442,535.356300,268.663800,532.048200,256.813100,3.308105,11.850710
36,father,115,133,81,0,-8.655084,1.052376,37,97,29,31,0.319588,24,31,37,47,1869,0.202800,745.383100,375.996000,747.951800,364.764900,-2.568726,11.231080
37,player,162,188,0,144,3.288456,-7.735958,42,92,27,25,0.271739,20,33,42,46,1917,0.208008,536.291400,269.228600,533.820700,257.699300,2.470764,11.529270
37,father,119,138,74,0,-8.207870,0.605162,37,97,28,31,0.319588,24,32,37,47,1877,0.203668,744.149800,375.461100,746.179300,363.878700,-2.029541,11.582400
38,player,158,190,0,163,3.288456,-8.183170,42,93,27,26,0.279570,20,32,42,46,1909,0.207140,537.011500,269.683900,535.593100,258.585500,1.418396,11.098360
38,father,114,137,63,2,-7.399487,-0.289265,37,97,28,31,0.319588,24,31,37,47,1865,0.202366,743.117600,375.065700,744.406900,362.992500,-1.289307,12.073240
39,player,154,188,0,177,3.288456,-9.077592,42,94,27,26,0.276596,20,32,42,47,1892,0.205295,537.824600,270.184200,537.365500,259.471700,0.459106,10.712460
