frame,actor,phase,left_contact,right_contact,left_grid_x,left_grid_y,right_grid_x,right_grid_y,left_toe_grid_x,left_toe_grid_y,right_toe_grid_x,right_toe_grid_y,left_ankle_line_px,right_ankle_line_px,left_shoe_line_px,right_shoe_line_px,min_contact_shoe_line_px
56,player,0.924982,false,true,5.989055,4.236326,6.000850,4.095429,5.951403,4.308949,6.047738,4.236515,10.375980,15.920500,2.232151,3.870175,3.870175
56,father,0.924982,false,true,6.028823,7.796565,5.966942,7.871393,6.082000,7.740828,5.911204,7.753194,11.670280,14.614870,4.489940,3.870457,3.870457
57,player,0.966908,false,true,5.983255,4.407915,6.001332,4.096566,5.940176,4.528368,6.048835,4.236865,3.623681,15.875740,-4.000000,3.870345,3.870345
57,father,0.966908,false,true,6.032194,7.684194,5.966295,7.870736,6.088139,7.605023,5.909924,7.752984,7.248296,14.589020,-1.269164,3.870119,3.870119
58,player,0.008835,false,true,5.981248,4.528435,6.001326,4.101260,5.943740,4.676979,6.049558,4.238327,1.118945,15.691010,-4.000000,3.870044,3.870044
58,father,0.008835,false,true,6.033015,7.606369,5.966268,7.868137,6.084241,7.513303,5.908947,7.752182,4.185752,14.486730,-4.000000,3.870382,3.870382
59,player,0.050761,false,false,5.987939,4.572896,6.003810,4.137083,5.953890,4.712941,6.049678,4.267530,2.868547,14.281350,-4.000000,2.838029,Infinity
59,father,0.050761,false,false,6.028904,7.554975,5.965135,7.821938,6.076686,7.462934,5.908548,7.709524,2.163335,12.668740,-4.000000,2.254424,Infinity
60,player,0.092687,false,false,5.994359,4.613938,6.007447,4.171659,5.964147,4.745336,6.049642,4.291726,4.483619,12.920720,-2.877335,2.069746,Infinity
60,father,0.092687,false,false,6.024937,7.505358,5.963568,7.777246,6.068774,7.414632,5.908569,7.670397,0.210855,10.910010,-4.000000,0.813292,Infinity
61,player,0.134614,false,false,5.996780,4.646564,6.010859,4.211419,5.969254,4.771861,6.048841,4.315188,5.767492,11.356100,-1.437386,1.435045,Infinity
61,father,0.134614,false,false,6.024323,7.459321,5.962624,7.728605,6.065480,7.369798,5.910148,7.630501,1.600773,8.995969,-4.000000,-0.601851,Infinity
62,player,0.176540,true,false,5.995685,4.781308,6.016507,4.373664,5.969535,4.906394,6.047410,4.447619,11.069860,4.971522,3.870345,-3.248361,3.870345
62,father,0.176540,true,false,6.026489,7.241543,5.960982,7.496079,6.066596,7.151615,5.912365,7.415324,10.170650,0.154289,3.870420,-4.000000,3.870420
63,player,0.218466,true,false,5.995699,4.780949,6.021917,4.417003,5.970316,4.905481,6.045136,4.443773,11.055740,3.266068,3.870382,-2.261417,3.870382
63,father,0.218466,true,false,6.028306,7.241363,5.959857,7.470222,6.067568,7.151145,5.915189,7.419203,10.177730,1.171796,3.870100,-4.000000,3.870100
64,player,0.260393,true,false,5.995952,4.781164,6.023032,4.479073,5.971579,4.906040,6.038744,4.451830,11.064200,0.823524,3.870100,-3.873322,3.870100
64,father,0.260393,true,false,6.029924,7.241002,5.960875,7.432174,6.068358,7.150231,5.919065,7.418940,10.191950,2.669031,3.870175,-1.669462,3.870175
65,player,0.302319,true,false,5.995722,4.781514,6.018824,4.556638,5.972527,4.906918,6.036853,4.511840,11.077970,2.228778,3.870382,-4.000000,3.870382
65,father,0.302319,true,false,6.031583,7.240588,5.965085,7.383081,6.069154,7.149191,5.919774,7.384497,10.208260,4.600942,3.870476,0.520157,3.870476
66,player,0.344245,true,false,5.994401,4.781868,6.011960,4.644083,5.972416,4.907811,6.044688,4.622875,11.091930,5.669849,3.870494,0.459774,3.870494
66,father,0.344245,true,false,6.033257,7.240178,5.969641,7.324871,6.069918,7.148147,5.915148,7.309749,10.224380,6.891586,3.870345,2.504814,3.870345
67,player,0.386172,true,false,5.993491,4.782205,6.007495,4.751760,5.972816,4.908679,6.052770,4.776711,11.105160,9.907146,3.870138,5.268938,3.870138
67,father,0.386172,true,false,6.034534,7.239788,5.972932,7.252791,6.070317,7.147148,5.910499,7.207902,10.239740,9.728008,3.870157,4.579840,3.870157
68,player,0.428098,true,false,5.992947,4.782526,6.006828,4.886061,5.973336,4.909483,6.065366,4.964490,11.117830,15.192060,3.870476,9.185955,3.870476
68,father,0.428098,true,false,6.035376,7.230794,5.973832,7.156055,6.070291,7.137551,5.902822,7.080090,10.593630,13.534710,4.208608,7.591633,4.208608
69,player,0.470025,true,false,5.992333,4.782821,6.009655,5.027463,5.973949,4.910237,6.074718,5.154510,11.129420,18.595040,3.870288,7.345802,3.870288
69,father,0.470025,true,false,6.036253,7.210294,5.972760,7.043635,6.070297,7.116458,5.897818,6.940926,11.400360,17.958630,5.000196,10.327610,5.000196
70,player,0.511951,true,false,5.992210,4.783070,6.015407,5.152989,5.974977,4.910876,6.074039,5.317845,11.139220,13.655400,3.870138,0.248751,3.870138
70,father,0.511951,true,false,6.036623,7.191353,5.969491,6.942457,6.069826,7.097008,5.899612,6.818686,12.145710,17.411330,5.732490,6.349027,5.732490
71,player,0.553877,false,false,5.992164,4.777467,6.018967,5.245084,5.976718,4.903537,6.063284,5.427865,10.918730,10.031330,3.694073,-4.000000,Infinity
71,father,0.553877,false,false,6.036644,7.174765,5.967581,6.861928,6.068797,7.080900,5.907922,6.727983,12.798470,14.242360,6.397551,2.599555,Infinity
72,player,0.595804,false,false,5.991516,4.774632,6.010935,5.265961,5.978772,4.895448,6.035678,5.438822,10.807180,9.209794,3.716909,-4.000000,Infinity
72,father,0.595804,false,false,6.036194,7.161951,5.972141,6.833618,6.067061,7.070353,5.927192,6.701154,13.302730,13.128330,6.959784,1.569998,Infinity
73,player,0.637730,false,false,5.987754,4.776464,6.004178,5.277394,5.980565,4.884158,6.034733,5.430127,10.879270,8.759869,4.124657,-3.954985,Infinity
73,father,0.637730,false,false,6.036737,7.147202,5.974005,6.812022,6.064785,7.061790,5.927489,6.688265,13.883110,12.278520,7.698420,1.217005,Infinity
74,player,0.679656,false,true,5.981313,4.603693,6.000468,5.090927,5.982444,4.687531,6.040504,5.235113,4.080478,16.097640,-2.063961,3.870438,3.870438
74,father,0.679656,false,true,6.038489,7.202609,5.973973,6.873537,6.062415,7.129963,5.922926,6.753854,11.702790,14.699210,5.844606,3.870194,3.870194
75,player,0.721583,false,true,5.975897,4.653136,6.000028,5.092932,5.984652,4.691838,6.042891,5.235735,6.026106,16.018730,1.036174,3.870420,3.870420
75,father,0.721583,false,true,6.039473,7.175460,5.972157,6.872574,6.060819,7.131168,5.919540,6.753558,12.771120,14.661320,7.638186,3.870345,3.870345
76,player,0.763509,false,true,5.969882,4.731848,5.999472,5.093378,5.986156,4.719652,6.043175,5.235878,9.123567,16.001170,4.427661,3.870213,3.870213
76,father,0.763509,false,true,6.040829,7.128078,5.970495,6.872380,6.061068,7.121724,5.917232,6.753498,14.635660,14.653700,10.473130,3.870307,3.870307
77,player,0.805435,false,true,5.974663,4.835103,5.999594,5.093875,5.981035,4.804029,6.044218,5.236030,13.186800,15.981640,7.413692,3.870326,3.870326
77,father,0.805435,false,true,6.036561,7.063559,5.969292,6.872147,6.065187,7.073256,5.915366,6.753424,17.174590,14.644540,12.603660,3.870232,3.870232
78,player,0.847362,false,true,5.985272,4.957455,6.000404,5.094514,5.972095,4.943654,6.045762,5.236228,18.001510,15.956470,13.214060,3.870363,3.870363
78,father,0.847362,false,true,6.030555,6.982654,5.968083,6.871852,6.070457,6.978965,5.913526,6.753337,18.473360,14.632930,12.196550,3.870494,3.870494
79,player,0.889288,false,true,5.988696,5.099817,6.000848,5.095023,5.961225,5.129070,6.047027,5.236388,15.747800,15.936470,10.078630,3.870213,3.870213
79,father,0.889288,false,true,6.028635,6.887487,5.967081,6.871609,6.076508,6.856593,5.911905,6.753259,15.248170,14.623370,9.485395,3.870326,3.870326
80,player,0.931214,false,true,5.988519,5.261320,6.000854,5.095489,5.949670,5.341469,6.047884,5.236531,9.392435,15.918110,0.819147,3.870307,3.870307
80,father,0.931214,false,true,6.029153,6.780033,5.966887,6.871348,6.082977,6.720356,5.911041,6.753174,11.019700,14.613100,3.614588,3.870100,3.870100
81,player,0.973141,false,true,5.982548,5.432750,6.001462,5.097037,5.939476,5.559506,6.048993,5.237013,2.646403,15.857190,-4.000000,3.870194,3.870194
81,father,0.973141,false,true,6.032547,6.668067,5.966219,6.870470,6.088254,6.585899,5.909726,6.752905,6.613673,14.578520,-2.074807,3.870345,3.870345
82,player,0.015067,false,true,5.981857,5.530379,6.001619,5.102492,5.944689,5.677639,6.049528,5.238706,1.195424,15.642550,-4.000000,3.870194,3.870194
82,father,0.015067,false,true,6.032741,6.605425,5.966151,6.867480,6.083603,6.512565,5.908942,6.751976,4.148637,14.460880,-4.000000,3.870288,3.870288
83,player,0.056993,false,false,5.989012,5.574909,6.004344,5.137663,5.955526,5.713656,6.049729,5.266859,2.947767,14.258500,-4.000000,2.886648,Infinity
83,father,0.056993,false,false,6.028216,6.553860,5.964879,6.821777,6.075411,6.461988,5.908479,6.710032,2.119447,12.662390,-4.000000,2.286304,Infinity
84,player,0.098920,false,false,5.995189,5.614797,6.007938,5.172369,5.965508,5.744958,6.049568,5.290537,4.517431,12.892790,-2.811885,2.150113,Infinity
84,father,0.098920,false,false,6.024484,6.504934,5.963398,6.777137,6.067786,6.414444,5.908714,6.671291,0.194183,10.905750,-4.000000,0.866226,Infinity
85,player,0.140846,false,false,5.996346,5.644303,6.011481,5.212284,5.969026,5.769387,6.048620,5.312538,5.678533,11.322060,-1.520943,1.601615,Infinity
