frame,actor,phase,left_contact,right_contact,left_grid_x,left_grid_y,right_grid_x,right_grid_y,left_toe_grid_x,left_toe_grid_y,right_toe_grid_x,right_toe_grid_y,left_ankle_line_px,right_ankle_line_px,left_shoe_line_px,right_shoe_line_px,min_contact_shoe_line_px
62,father,0.176540,true,false,7.221087,5.972410,7.531443,6.040645,7.099671,5.930648,7.481115,6.091226,10.546290,1.188921,3.562145,-4.000000,3.562145
63,player,0.218466,true,false,4.795695,6.004474,4.398749,5.977214,4.942909,6.030883,4.410498,5.953049,11.180830,3.828516,3.562650,-0.815665,3.562650
63,father,0.218466,true,false,7.221263,5.970540,7.506934,6.041800,7.100132,5.929667,7.484824,6.088283,10.539640,0.262173,3.562506,-4.000000,3.562506
64,player,0.260393,true,false,4.795470,6.004230,4.462283,5.976010,4.942343,6.029611,4.423031,5.959654,11.172350,1.426165,3.562541,-3.538553,3.562541
64,father,0.260393,true,false,7.221270,5.968876,7.468131,6.040722,7.100138,5.928883,7.483368,6.084236,10.539380,1.205052,3.562199,-3.630399,3.562199
65,player,0.302319,true,false,4.795290,6.004446,4.545238,5.980435,4.941889,6.028568,4.486108,5.961679,11.165530,1.710519,3.562451,-4.000000,3.562451
65,father,0.302319,true,false,7.221232,5.967144,7.415666,6.036322,7.100049,5.928061,7.448583,6.083475,10.540800,3.188842,3.562361,-2.615910,3.562361
66,player,0.344245,true,false,4.795109,6.005829,4.639534,5.987563,4.941430,6.028700,4.594754,5.953504,11.158700,5.276045,3.562469,-1.179118,3.562469
66,father,0.344245,true,false,7.221217,5.965398,7.353494,6.031617,7.100004,5.927232,7.375556,6.088328,10.541370,5.539689,3.562199,0.330066,3.562199
67,player,0.386172,true,false,4.794887,6.006777,4.753487,5.992200,4.940856,6.028306,4.748046,5.945084,11.150260,9.584876,3.562668,5.286555,3.562668
67,father,0.386172,true,false,7.221197,5.964072,7.277472,6.028181,7.099957,5.926840,7.274075,6.093157,10.542140,8.414283,3.562343,4.330773,3.562343
68,player,0.428098,true,false,4.794734,6.007352,4.892851,5.992902,4.940466,6.027756,4.933856,5.931978,11.144530,14.854520,3.562758,9.846723,3.562758
68,father,0.428098,true,false,7.207026,5.963190,7.171937,6.027234,7.085759,5.926843,7.142137,6.101130,11.077970,12.404780,4.097480,7.672332,4.097480
