member,seat,hipClearance,kneeTarget,handError,maxHandError,leftKnee,rightKnee,chairPenetrations,cushion,upperLeg,torso,rail,stem,leanDegrees,workClock
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,94.9999,0,0,0,0,0,0,20.1917,0.5500
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,94.9998,0,0,0,0,0,0,20.2856,0.5750
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,20.3198,0.6000
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,20.2856,0.6250
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,94.9999,0,0,0,0,0,0,20.1917,0.6500
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,20.0464,0.6750
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,94.9999,0,0,0,0,0,0,19.8499,0.7000
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0000,0,0,0,0,0,0,19.6106,0.7250
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,19.3457,0.7500
player,seat_player,0.1130,95.0000,0.0000,0.0000,95.0000,95.0001,0,0,0,0,0,0,19.0723,0.7750
father,seat_father,0.1130,95.0000,0.0035,0.0070,98.6724,99.3019,0,0,0,0,0,0,35.0000,-0.0250
father,seat_father,0.1130,95.0000,0.0035,0.0070,98.6724,99.3019,0,0,0,0,0,0,35.0000,0.0000
father,seat_father,0.1130,95.0000,0.0034,0.0067,98.6727,99.3020,0,0,0,0,0,0,35.0000,0.0250
father,seat_father,0.1130,95.0000,0.0032,0.0065,98.6730,99.3020,0,0,0,0,0,0,35.0000,0.0500
father,seat_father,0.1130,95.0000,0.0031,0.0063,98.6731,99.3023,0,0,0,0,0,0,35.0000,0.0750
father,seat_father,0.1130,95.0000,0.0030,0.0061,98.6732,99.3022,0,0,0,0,0,0,35.0000,0.1000
father,seat_father,0.1130,95.0000,0.0030,0.0060,98.6734,99.3024,0,0,0,0,0,0,35.0000,0.1250
father,seat_father,0.1130,95.0000,0.0029,0.0059,98.6737,99.3024,0,0,0,0,0,0,35.0000,0.1500
father,seat_father,0.1130,95.0000,0.0029,0.0058,98.6738,99.3026,0,0,0,0,0,0,35.0000,0.1750
father,seat_father,0.1130,95.0000,0.0029,0.0058,98.6739,99.3026,0,0,0,0,0,0,35.0000,0.2000
father,seat_father,0.1130,95.0000,0.0029,0.0058,98.6740,99.3028,0,0,0,0,0,0,35.0000,0.2250
father,seat_father,0.1130,95.0000,0.0029,0.0059,98.6741,99.3029,0,0,0,0,0,0,35.0000,0.2500
father,seat_father,0.1130,95.0000,0.0030,0.0060,98.6741,99.3030,0,0,0,0,0,0,35.0000,0.2750
father,seat_father,0.1130,95.0000,0.0030,0.0061,98.6741,99.3032,0,0,0,0,0,0,35.0000,0.3000
father,seat_father,0.1130,95.0000,0.0031,0.0062,98.6743,99.3033,0,0,0,0,0,0,35.0000,0.3250
father,seat_father,0.1130,95.0000,0.0032,0.0065,98.6742,99.3033,0,0,0,0,0,0,35.0000,0.3500
father,seat_father,0.1130,95.0000,0.0034,0.0067,98.6743,99.3033,0,0,0,0,0,0,35.0000,0.3750
father,seat_father,0.1130,95.0000,0.0035,0.0070,98.6742,99.3034,0,0,0,0,0,0,35.0000,0.4000
