frame,seconds,dt,member,cellX,cellY,gridX,gridY,rootX,rootY,footMidX,footMidY,footMidErrorPx,leftGroundX,leftGroundY,rightGroundX,rightGroundY,leftActualX,leftActualY,rightActualX,rightActualY,leftWorldX,leftWorldY,leftWorldZ,rightWorldX,rightWorldY,rightWorldZ,rootWorldX,rootWorldZ,yaw,phase,footLead,leftContact,rightContact,gaitDistance,displacement,pathErrorPx,lowestMeshY,direction,destinationX,destinationY,pathCount,hostCount
10,0.952935,0.078415,older_sister,9,4,9.177408,3.999998,858.876200,384.323300,855.871000,386.018900,3.450547,848.314300,390.132300,863.427800,381.905500,848.314300,378.600100,863.427800,370.175800,3.761230,0.294468,-0.769412,4.034113,0.299509,-0.559344,3.951931,-0.621082,234.737100,0.028240,0.344090,0,1,0.817500,0.030000,0.000061,0.128808,1,4,9,12,4
10,0.952935,0.078415,player,2,2,1.822593,2.000000,632.500100,582.061600,635.505100,580.365800,3.450424,643.061400,576.252000,627.948800,584.479700,643.061400,564.719800,627.948800,572.750100,0.055274,0.294467,-5.521868,-0.217591,0.299509,-5.731958,-0.135415,-5.670214,54.732340,0.028240,0.344090,0,1,0.817500,0.030000,0.000136,0.128808,5,8,4,10,4
11,1.030575,0.077652,father,2,9,1.903092,9.000001,339.976600,432.397000,340.513100,432.312200,0.543161,345.986800,428.748300,335.039400,435.876200,345.986800,419.957000,335.039400,425.831300,-5.308572,0.224480,-1.755448,-5.506234,0.256490,-1.937455,-5.417089,-1.848616,54.739110,0.128863,0.266470,0,0,0.897500,0.030000,0.000000,0.123853,5,4,5,8,4
11,1.030575,0.077652,mother,8,6,8.096908,6.000000,728.647200,364.887100,728.110700,364.971900,0.543161,722.637100,368.535900,733.584500,361.407900,722.637100,359.744500,733.584500,351.363000,1.492058,0.224481,-0.217959,1.689718,0.256491,-0.035951,1.600575,-0.124790,234.738700,0.128863,0.266470,0,0,0.897500,0.030000,0.000301,0.123853,1,8,11,7,4
11,1.030575,0.077652,older_sister,9,4,9.096910,3.999998,855.473100,386.025000,854.854700,386.140400,0.629075,847.127600,390.236200,862.581700,382.044500,847.127600,379.337700,862.581700,369.634900,3.739804,0.278286,-0.772065,4.018836,0.316871,-0.562895,3.890486,-0.664534,234.733000,0.128863,0.348594,0,0,0.897500,0.030000,0.000086,0.128808,1,4,9,12,4
11,1.030575,0.077652,player,2,2,1.903092,2.000000,635.903200,580.360200,636.521700,580.244900,0.629124,644.249100,576.149400,628.794200,584.340300,644.249100,565.250900,628.794200,571.930700,0.076720,0.278287,-5.519248,-0.202327,0.316872,-5.728399,-0.073970,-5.626769,54.737090,0.128863,0.348594,0,0,0.897500,0.030000,0.000136,0.128808,5,8,4,10,4
12,1.106482,0.076604,father,2,9,1.983590,9.000001,343.379700,430.695300,341.759300,431.745000,1.930707,346.142700,428.573400,337.375800,434.916600,346.142700,419.724000,337.375800,423.578100,-5.305756,0.225962,-1.750981,-5.464047,0.289523,-1.912954,-5.355645,-1.805163,54.732520,0.229486,0.222761,1,0,0.977500,0.030000,0.000205,0.126119,5,4,5,8,4
12,1.106482,0.076604,mother,8,6,8.016410,6.000000,725.244100,366.588800,726.864600,365.539100,1.930733,722.481100,368.710700,731.248000,362.367400,722.481100,359.861400,731.248000,351.028900,1.489241,0.225962,-0.222424,1.647534,0.289522,-0.060453,1.539130,-0.168242,234.732900,0.229486,0.222762,1,0,0.977500,0.030000,0.000110,0.126119,1,8,11,7,4
12,1.106482,0.076604,older_sister,9,4,9.016412,3.999998,852.070000,387.726300,854.166300,386.318200,2.525300,848.063700,389.831100,860.268900,382.805300,848.063700,378.834700,860.268900,369.046300,3.756706,0.280788,-0.761721,3.977077,0.351327,-0.582320,3.829042,-0.707976,234.739600,0.229486,0.283508,1,0,0.977500,0.030000,0.000110,0.130801,1,4,9,12,4
12,1.106482,0.076604,player,2,2,1.983590,2.000000,639.306300,578.658400,637.210300,580.066700,2.525165,643.312100,576.553200,631.108300,583.580300,643.312100,565.556700,631.108300,569.821200,0.059803,0.280788,-5.529560,-0.160544,0.351328,-5.708991,-0.012526,-5.583315,54.731750,0.229486,0.283508,1,0,0.977500,0.030000,0.000273,0.130802,5,8,4,10,4
13,1.229944,0.119318,father,2,9,2.064089,9.000001,346.782800,428.993800,345.125400,429.913100,1.895280,347.122200,428.012100,343.128500,431.814100,347.122200,419.101300,343.128500,419.088100,-5.288071,0.227531,-1.736650,-5.360179,0.324951,-1.833732,-5.294200,-1.761718,54.737190,0.330109,0.114926,1,0,1.057500,0.030000,0.000110,0.126119,5,4,5,8,4
13,1.229944,0.119318,mother,8,6,8.000000,6.021735,723.631600,366.476000,726.024900,366.461900,2.393353,721.007400,366.917800,731.042400,366.005900,721.007400,358.054700,731.042400,353.775400,1.462633,0.226316,-0.176644,1.643821,0.312298,-0.153357,1.510015,-0.165362,275.648900,0.277166,0.178016,1,0,1.015408,0.021600,0.000273,0.126119,2,8,11,7,4
13,1.229944,0.119318,older_sister,9,4,8.935913,3.999998,848.666900,389.427800,850.708100,388.189900,2.387195,847.814800,389.981000,853.601600,386.398900,847.814800,378.885700,853.601600,370.874300,3.752212,0.283310,-0.765548,3.856694,0.396412,-0.674082,3.767597,-0.751423,234.736300,0.330109,0.138117,1,0,1.057500,0.030000,0.000193,0.130801,1,4,9,12,4
13,1.229944,0.119318,player,2,2,2.064088,2.000000,642.709400,576.957200,640.668000,578.194900,2.387252,643.561500,576.403900,637.774500,579.985800,643.561500,565.308700,637.774500,564.461200,0.064305,0.283310,-5.525748,-0.040182,0.396412,-5.617209,0.048919,-5.539873,54.739460,0.330109,0.138117,1,0,1.057500,0.030000,0.000061,0.130802,5,8,4,10,4
14,1.313249,0.079587,father,2,9,2.144588,9.000001,350.185900,427.292100,350.320300,427.191700,0.167768,348.483100,427.271100,352.157500,427.112300,348.483100,418.304900,352.157500,416.533200,-5.263499,0.228947,-1.717729,-5.197155,0.270131,-1.713675,-5.232755,-1.718265,54.732520,0.430732,-0.056508,1,0,1.137500,0.030000,0.000273,0.126119,5,4,5,8,4
14,1.313249,0.079587,mother,8,6,8.000000,6.100623,720.296600,364.808600,721.419000,365.350800,1.246454,719.789200,365.401200,723.048800,365.300300,719.789200,356.444200,723.048800,353.109500,1.440639,0.228713,-0.137919,1.499492,0.311284,-0.135342,1.449800,-0.122787,304.309800,0.375776,0.047161,1,0,1.093808,0.030000,0.000193,0.126119,3,8,11,7,4
14,1.313249,0.079587,older_sister,9,4,8.855414,3.999998,845.263800,391.129500,845.068200,391.172100,0.200137,847.158100,390.377000,842.978400,391.967100,847.158100,379.100300,842.978400,378.884600,3.740355,0.287944,-0.775661,3.664887,0.334056,-0.816263,3.706152,-0.794875,234.733000,0.430732,-0.085060,1,0,1.137500,0.030000,0.000031,0.130801,1,4,9,12,4
14,1.313249,0.079587,player,2,2,2.144587,2.000000,646.112400,575.255700,646.308000,575.213100,0.200203,644.218100,576.008000,648.397900,574.418200,644.218100,564.731300,648.397900,561.335600,0.076160,0.287945,-5.515639,0.151631,0.334056,-5.475042,0.110364,-5.496428,54.737380,0.430732,-0.085060,1,0,1.137500,0.030000,0.000000,0.130802,5,8,4,10,4
15,1.397729,0.084943,father,2,9,2.225086,9.000001,353.588900,425.590600,355.692200,424.622600,2.315355,349.640000,426.667000,361.744400,422.578200,349.640000,417.684200,361.744400,413.206800,-5.242610,0.229371,-1.702304,-5.024059,0.239294,-1.597898,-5.171310,-1.674819,54.736750,0.531355,-0.238726,1,0,1.217500,0.030000,0.000205,0.126119,5,4,5,8,4
15,1.397729,0.084943,mother,8,6,8.000000,6.181121,716.893400,363.107300,715.660500,362.493800,1.377128,718.382600,364.743000,712.938500,360.244600,718.382600,355.770200,712.938500,350.582900,1.415241,0.229116,-0.121111,1.316946,0.246705,-0.006248,1.388354,-0.079344,305.260700,0.476399,-0.146572,1,0,1.173808,0.030000,0.000086,0.126119,3,8,11,7,4
15,1.397729,0.084943,older_sister,9,4,8.774916,3.999998,841.860700,392.831000,839.165700,393.942400,2.915211,846.810200,390.576400,831.521200,397.308600,846.810200,379.162800,831.521200,385.857500,3.734073,0.291439,-0.780751,3.458022,0.292396,-0.952653,3.644708,-0.838320,234.737000,0.531355,-0.324643,0,0,1.217500,0.030000,0.000110,0.130801,1,4,9,12,4
15,1.397729,0.084943,player,2,2,2.225085,2.000000,649.515500,573.554000,652.210400,572.442300,2.915213,644.566300,575.808800,659.854600,569.075700,644.566300,564.395300,659.854600,557.624600,0.082448,0.291440,-5.510552,0.358485,0.292397,-5.338626,0.171808,-5.452975,54.732350,0.531355,-0.324644,0,0,1.217500,0.030000,0.000136,0.130802,5,8,4,10,4
