seconds,seat,turn,chairTileErrorPx,stemTileErrorPx,monitorAxisError,keyboardAxisError,member,phase,handMidpointError,standingHeight
157.160500,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
158.259900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
158.259900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
158.260000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
158.260000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
159.359800,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
159.359900,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
159.359900,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
159.359900,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
160.359900,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
160.360000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
160.360000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
160.360000,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
161.387700,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
161.387700,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
161.387700,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
161.387700,seat_mother,SouthWest,0.484131,0.484131,0.000000,0.000000,none,none,,
162.471000,seat_player,NorthWest,0.484345,0.484345,0.000000,0.000000,none,none,,
162.471000,seat_older_sister,NorthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
162.471000,seat_father,SouthEast,0.484131,0.484131,0.000000,0.000000,none,none,,
