frame,actor,phase,grid_x,grid_y,position_x,position_y,radius
87,father,Navigating,9.035069,10.000000,-0.857716,8.904475,0.220000
88,player,Navigating,4.000000,1.407910,2.304080,2.847960,0.220000
88,father,AligningSeat,9.000000,10.000000,-0.888889,8.888889,0.220000
89,player,Navigating,4.000000,1.427888,2.286321,2.856839,0.220000
89,father,RotatingToSeat,9.000000,10.000000,-0.888889,8.888889,0.220000
90,player,Navigating,4.000000,1.444659,2.271414,2.864293,0.220000
90,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
91,player,Navigating,4.000000,1.525157,2.199860,2.900070,0.220000
91,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
92,player,Navigating,4.000000,1.546676,2.180732,2.909634,0.220000
92,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
93,player,Navigating,4.000000,1.563446,2.165825,2.917087,0.220000
93,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
94,player,Navigating,4.000000,1.643945,2.094271,2.952864,0.220000
94,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
95,player,Navigating,4.000000,1.664786,2.075746,2.962127,0.220000
95,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
96,player,Navigating,4.000000,1.681556,2.060839,2.969580,0.220000
96,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
97,player,Navigating,4.000000,1.762055,1.989285,3.005358,0.220000
97,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
98,player,Navigating,4.000000,1.783729,1.970019,3.014991,0.220000
98,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
99,player,Navigating,4.000000,1.800500,1.955111,3.022444,0.220000
99,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
100,player,Navigating,4.000000,1.880998,1.883557,3.058221,0.220000
100,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
101,player,Navigating,4.000000,1.900828,1.865931,3.067034,0.220000
101,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
102,player,Navigating,4.000000,1.917598,1.851024,3.074488,0.220000
102,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
103,player,Navigating,4.000000,1.998096,1.779470,3.110265,0.220000
103,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
104,player,Navigating,4.000000,2.018117,1.761674,3.119163,0.220000
104,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
105,player,Navigating,4.000000,2.034887,1.746767,3.126616,0.220000
105,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
106,player,Navigating,4.000000,2.115386,1.675212,3.162394,0.220000
106,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
107,player,Navigating,4.000000,2.136170,1.656738,3.171631,0.220000
107,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
108,player,Navigating,4.000000,2.152940,1.641831,3.179085,0.220000
108,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
109,player,Navigating,4.000000,2.233439,1.570277,3.214862,0.220000
109,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
110,player,Navigating,4.000000,2.254030,1.551974,3.224013,0.220000
110,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
111,player,Navigating,4.000000,2.270800,1.537067,3.231467,0.220000
111,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
112,player,Navigating,4.000000,2.351298,1.465513,3.267244,0.220000
112,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
113,player,Navigating,4.000000,2.371245,1.447782,3.276109,0.220000
113,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
114,player,Navigating,4.000000,2.388015,1.432875,3.283562,0.220000
114,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
115,player,Navigating,4.000000,2.468514,1.361321,3.319340,0.220000
115,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
116,player,Navigating,4.000000,2.489455,1.342707,3.328647,0.220000
116,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
117,player,Navigating,4.000000,2.506225,1.327800,3.336100,0.220000
117,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
118,player,Navigating,4.000000,2.586301,1.256621,3.371689,0.220000
118,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
119,player,Navigating,4.000000,2.605060,1.239946,3.380027,0.220000
119,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
120,player,Navigating,4.000000,2.620751,1.225999,3.387000,0.220000
120,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
121,player,Navigating,4.000000,2.691950,1.162711,3.418644,0.220000
121,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
122,player,Navigating,4.000000,2.707576,1.148821,3.425589,0.220000
122,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
123,player,Navigating,4.000000,2.720036,1.137746,3.431127,0.220000
123,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
124,player,Navigating,4.000000,2.775157,1.088749,3.455626,0.220000
124,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
125,player,Navigating,4.000000,2.786525,1.078645,3.460678,0.220000
125,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
126,player,Navigating,4.000000,2.795863,1.070344,3.464828,0.220000
126,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
127,player,Navigating,4.000000,2.837165,1.033631,3.483184,0.220000
127,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
128,player,Navigating,4.000000,2.846115,1.025676,3.487162,0.220000
128,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
129,player,Navigating,4.000000,2.853219,1.019361,3.490319,0.220000
129,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
130,player,Navigating,4.000000,2.884979,0.991130,3.504435,0.220000
130,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
131,player,Navigating,4.000000,2.891643,0.985206,3.507397,0.220000
131,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
132,player,Navigating,4.000000,2.897313,0.980167,3.509917,0.220000
132,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
133,player,Navigating,4.000000,2.923055,0.957285,3.521358,0.220000
133,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
134,player,Navigating,4.000000,2.928096,0.952804,3.523598,0.220000
134,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
135,player,Navigating,4.000000,2.932887,0.948545,3.525727,0.220000
135,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
136,player,Navigating,4.000000,2.955000,0.928889,3.535555,0.220000
136,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
137,player,Navigating,4.000000,2.959991,0.924453,3.537774,0.220000
137,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
138,player,Navigating,4.000000,2.964264,0.920654,3.539673,0.220000
138,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
139,player,ApproachingSeat,4.000000,3.000000,0.888889,3.555556,0.220000
139,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
140,player,AligningSeat,4.000000,3.000000,0.888889,3.555556,0.220000
140,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
141,player,RotatingToSeat,4.000000,3.000000,0.888889,3.555556,0.220000
141,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
142,player,RotatingToSeat,4.000000,3.000000,0.888889,3.555556,0.220000
142,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
143,player,Working,4.000000,4.000000,0.000000,4.000000,0.220000
143,father,Working,9.000000,9.000000,0.000000,8.444445,0.220000
