frame,actor,phase,grid_x,grid_y,position_x,position_y,radius,desk_penetrating_vertices,desk_min_clearance,body_reach
89,player,Navigating,1.000000,3.088288,-1.856256,2.261461,0.220000,0,1.189923,0.431001
89,father,Navigating,11.000000,9.044082,1.738594,9.352925,0.220000,0,0.281329,0.405372
90,player,Navigating,1.000000,3.007790,-1.784702,2.225684,0.220000,0,1.204426,0.486881
90,father,Navigating,11.000000,8.963583,1.810149,9.317148,0.220000,0,0.251210,0.359344
91,player,Navigating,1.021735,3.000000,-1.758458,2.231882,0.220000,0,1.159944,0.459034
91,father,Navigating,11.000000,8.883084,1.881703,9.281371,0.220000,0,0.220325,0.340610
92,player,Navigating,1.100623,3.000000,-1.688335,2.266943,0.220000,0,1.143422,0.325017
92,father,Navigating,11.000000,8.802586,1.953257,9.245594,0.220000,0,0.200591,0.353989
93,player,Navigating,1.181121,3.000000,-1.616781,2.302721,0.220000,0,0.938560,0.339262
93,father,Navigating,11.000000,8.722088,2.024811,9.209817,0.220000,0,0.192092,0.381503
94,player,Navigating,1.261620,3.000000,-1.545227,2.338498,0.220000,0,0.899077,0.373442
94,father,Navigating,11.000000,8.641589,2.096365,9.174040,0.220000,0,0.205602,0.394550
95,player,Navigating,1.342118,3.000000,-1.473673,2.374275,0.220000,0,0.912213,0.447778
95,father,Navigating,11.000000,8.561090,2.167920,9.138263,0.220000,0,0.227334,0.378579
96,player,Navigating,1.422617,3.000000,-1.402118,2.410052,0.220000,0,0.919517,0.453645
96,father,Navigating,11.000000,8.480592,2.239474,9.102486,0.220000,0,0.265751,0.357907
97,player,Navigating,1.503115,3.000000,-1.330564,2.445829,0.220000,0,0.820872,0.349542
97,father,Navigating,11.000000,8.400817,2.310385,9.067030,0.220000,0,0.299748,0.351356
98,player,Navigating,1.583614,3.000000,-1.259010,2.481606,0.220000,0,0.691464,0.331644
98,father,Navigating,11.000000,8.326896,2.376093,9.034176,0.220000,0,0.313882,0.348583
99,player,Navigating,1.664112,3.000000,-1.187456,2.517383,0.220000,0,0.632766,0.373807
99,father,Navigating,11.000000,8.263470,2.432472,9.005987,0.220000,0,0.304178,0.393136
100,player,Navigating,1.744611,3.000000,-1.115902,2.553160,0.220000,0,0.637908,0.467348
100,father,Navigating,11.000000,8.211242,2.478897,8.982775,0.220000,0,0.288636,0.407618
101,player,Navigating,1.825109,3.000000,-1.044347,2.588937,0.220000,0,0.642407,0.454468
101,father,Navigating,11.000000,8.168592,2.516807,8.963820,0.220000,0,0.270797,0.365814
102,player,Navigating,1.905607,3.000000,-0.972793,2.624714,0.220000,0,0.641018,0.325941
102,father,Navigating,11.000000,8.133336,2.548147,8.948150,0.220000,0,0.258416,0.332733
103,player,Navigating,1.986106,3.000000,-0.901239,2.660491,0.220000,0,0.648932,0.340213
103,father,Navigating,11.000000,8.103536,2.574636,8.934905,0.220000,0,0.246226,0.337212
104,player,Navigating,2.066604,3.000000,-0.829685,2.696269,0.220000,0,0.638607,0.378029
104,father,Navigating,11.000000,8.077678,2.597620,8.923412,0.220000,0,0.235867,0.341525
105,player,Navigating,2.147103,3.000000,-0.758131,2.732046,0.220000,0,0.605052,0.451585
105,father,Navigating,11.000000,8.054613,2.618121,8.913161,0.220000,0,0.228645,0.345366
